-----BEGIN NAMESPACES-----
namespace_id,address,buckets,base,coeff,nonalpha_discount,no_vowel_discount,lifetime
bankia.id,SPCYN29F5TW6KYF7DG47R49KB7YTEDNGA3VQQC4J,7a8380b0f8e3f678b71ffab13a00cd63e222e983
bankofamerica.id,SP2D32NK3RQJDYXQQQ6CDFGYGE4AFFA2CABJVAQTS,d792188a5fea148b7402ff004ccdddb1db330b97
barackobama.id,SP3EPHMRBK29RS1MQFFXSADE1YEAWKA9SFHDFMQA5,d2e58aa21de93a729116e7fa06141598881049b8
barclays.id,SPB5R7964D3Q30JD4M7JBE21GHTM46QJM4YZTWXN,2360914c7d9d009ab9886410661adfaaab8baf16
bbva.id,SP1GA9YB1F1GW6KV1YXKKPVDNQ2PG6W655RZY99JF,296c61229e4ff1ba11eacb35787e805bbc335ea7
beachlabs.id,SPPAS1CK6VN6GP0QWZNQW68BB3QGHCTR73B6BRF0,a621f1c42f05d1c9674eea598e5b27dab01a0159
belchira.id,SP16WPBQBNK4NSGP3B0JYPPNECSRTFS1VEXMFJCFJ,7daabd0abfce8a2789f1113c33a4234c91ffae3f
belgaard.id,SP3FH4ZK342MR4G5K0DC3YDJHQNFWHDR0TYB4XG45,e5f88547b1db16266108fb93cef23c1f492f2972
ben.id,SP26F632NPZYYDQRCH9J84XSDNYP87E3NP0F465XV,2c26781c63db1443bb46d9482e1811ad2b43b8fe
benjamin.id,SP2JGM6T95GK812DKS5PJNYD6TN784241V03ZKK1F,d292f77d2782670497e175dea6fb359a13bbf6d5
bestebank.id,SP3NG58CSEWXV5HKPYT9N80VYW6JG39BK31YSQSMH,0a3b08e3607c92939bfe04ecd8818b9ca8a8bb1c
bet365.id,SPJ2JGPJY1PNHEB515FKAPWQYT8YVS1H3FNHQ15Y,df27cc54f694e5f0997c64b2a21f2a97473b7a43
betting.id,SP33FFNNYR1GBF5AMTQS7A2QG4D825XXB4GYW8V5R,820d87eb6ccaed731665e9250eef59cf4aa3a05c
beyonce.id,SPBAQXNEY7R97DB0HM4BVYFBP5CH3YMB8XWS5K80,721001a6bb2afd41778e178795554f0d95b64716
bigalbowski.id,SP3CN9WG665526FNKB3W3W5ZTTKKETAE8F4FJ8S1D,28e0b19f3d730355acff82f3f8195f1820f3f53d
